x,y,geometry,k_rechov,t_rechov,english_name
34.786088,32.118293,POINT (34.786088 32.118293),2222,ארצי יצחק,ARTZI ITZHAK
34.764394,32.064291,POINT (34.764394 32.064291),453,"איל""ן",ILAN
34.813693,32.12365,POINT (34.813693 32.12365),852,מסקין אהרון,MESKIN
34.802815,32.066177,POINT (34.802815 32.066177),635,לה גוארדיה,LA-GUARDIA
34.803828,32.101972,POINT (34.803828 32.101972),1250,קוסובסקי,KOSOVSKY
34.789796,32.045261,POINT (34.789796 32.045261),3672,חירותנו,HERUTENU
34.785806,32.101895,POINT (34.785806 32.101895),2117,גלילי ישראל,GALILI
34.798499,32.069886,POINT (34.798499 32.069886),700,נחלת יצחק,NAHALT YITZHAK
34.773758,32.085461,POINT (34.773758 32.085461),286,גרץ,GRAETZ
34.791811,32.057061,POINT (34.791811 32.057061),644,אלון יגאל,YIG'AL ALLON
34.770259,32.045195,POINT (34.770259 32.045195),3000,בן צבי,BEN ZVI
34.770072,32.085327,POINT (34.770072 32.085327),27,הירקון,HAYARKON
34.769993,32.057543,POINT (34.769993 32.057543),3374,אברבנאל,ABARVANEL
34.772072,32.092599,POINT (34.772072 32.092599),27,הירקון,HAYARKON
34.805891,32.122189,POINT (34.805891 32.122189),948,"חי""ש",HISH
34.776766,32.065452,POINT (34.776766 32.065452),8,רוטשילד,ROTHSHILD
34.772964,32.056525,POINT (34.772964 32.056525),35,לוינסקי,ELHANAN EIB LEVINSKY
34.771172,32.067491,POINT (34.771172 32.067491),14,"מזא""ה",MAZEH
34.814525,32.113374,POINT (34.814525 32.113374),806,מבצע קדש,MIVZA KADESH
34.800112,32.068977,POINT (34.800112 32.068977),700,נחלת יצחק,NAHALT YITZHAK
34.753372,32.055288,POINT (34.753372 32.055288),0,0,UKNOWN
34.757247,32.054175,POINT (34.757247 32.054175),3349,הגמנסיה העברית,HAGIMNASYA HA'IVRIT
34.78956,32.044827,POINT (34.78956 32.044827),3672,חירותנו,HERUTENU
34.773608,32.043295,POINT (34.773608 32.043295),3000,בן צבי,BEN ZVI
34.74658,32.044251,POINT (34.74658 32.044251),0,0,UKNOWN
34.774403,32.091175,POINT (34.774403 32.091175),25,בן יהודה,BEN-YEHUDA
34.836074,32.125747,POINT (34.836074 32.125747),885,יהונתן,YEHONATAN
34.763478,32.050216,POINT (34.763478 32.050216),3245,אור החיים,OR HAHAYIM
34.841001,32.122215,POINT (34.841001 32.122215),901,הפרסה,HAPARSA
34.780061,32.078578,POINT (34.780061 32.078578),496,אבן גבירול,IBN GVIROL
34.769553,32.056681,POINT (34.769553 32.056681),3374,אברבנאל,ABARVANEL
34.807659,32.120519,POINT (34.807659 32.120519),953,עלומים,ALUMIM
34.842836,32.117557,POINT (34.842836 32.117557),2074,הצנחנים,HA-ZANHANIM
34.763028,32.047467,POINT (34.763028 32.047467),3245,אור החיים,OR HAHAYIM
34.776377,32.104793,POINT (34.776377 32.104793),496,אבן גבירול,IBN GVIROL
34.788369,32.05343,POINT (34.788369 32.05343),626,יציאת אירופה,YETSIAT EUROPA
34.790751,32.052514,POINT (34.790751 32.052514),4017,התקוה,HATIKVA
34.750746,32.05084,POINT (34.750746 32.05084),0,0,UKNOWN
34.799786,32.074323,POINT (34.799786 32.074323),700,נחלת יצחק,NAHALT YITZHAK
34.770248,32.086759,POINT (34.770248 32.086759),1241,פרי אליעזר,ELIEZER PERI
34.833467,32.114783,POINT (34.833467 32.114783),903,"ק""ם",KAM
34.791083,32.103953,POINT (34.791083 32.103953),800,נמיר מרדכי,NAMIR
34.772714,32.080434,POINT (34.772714 32.080434),506,הוז דב,HOS DOV
34.785866,32.070378,POINT (34.785866 32.070378),54,בגין מנחם,BEGIN MENAHEM
34.764881,32.070581,POINT (34.764881 32.070581),453,"איל""ן",ILAN
34.763017,32.040651,POINT (34.763017 32.040651),3710,קורקידי,QURQIDI
34.763522,32.041611,POINT (34.763522 32.041611),3710,קורקידי,QURQIDI
34.780823,32.042556,POINT (34.780823 32.042556),3590,כוכבי יצחק,KOCHVEY YITZCHK
