,shem_angli,oid_rechov,k_rechov,ms_lamas,k_kivun,length,count,lights_per_meter,normalized_lights_per_meter
0,"""hevra hadasha""",1724,1142,1878,2,125.44796211802321,16,0.2561866980299323,0.0015353545410785425
1,1115,47,1115,4049,2,96.30590022214749,437,4.53762437183992,0.028125593848702807
2,1221,378,1221,4103,0,52.293334547844466,2,0.03824579207451669,0.00018181367798851352
3,1279,733,1279,946,3,58.60576337178853,4,0.06825267294317863,0.0003681740092515079
4,2040,236,2040,3130,0,613.7989590571328,228,0.3714571304425715,0.0022512515402792446
5,2172,392,2172,4580,3,141.655324804689,5,0.03529694352749451,0.00016349959881204764
6,2184,393,2184,4627,0,69.57037370069138,30,0.43121803727930624,0.002622401825556045
7,2233,394,2233,4594,0,111.53588491723274,13,0.11655441663144459,0.0006681561698007688
8,4155,91,4155,2991,3,56.54471263561456,271,4.792667384241179,0.029709560555720636
9,4827,103,4827,4688,3,27.57093254617658,312,11.316265762046806,0.07022493301431772
10,615,843,615,4015,3,37.4493513769266,18,0.4806491791761769,0.0029293982114493074
11,912,365,912,4025,1,59.11722302300307,34,0.575128503359677,0.003516170233153476
12,975,268,975,243,3,28.314430443933944,42,1.483342569195067,0.009156712311072608
13,aba ahimeir,287,4402,562,0,455.29675042421775,196,0.8934061726012344,0.0054928612505599555
14,abarvanel,46,3374,2213,0,38.18750040261042,602,15.764320619394312,0.09784996276397648
15,adam hakohen,3558,1116,2132,4,339.5807290473861,96,1.1385986674955055,0.007015650465863492
16,aharonovitch,959,318,629,1,78.70667128908272,29,0.3684566952842604,0.002232617077987632
17,ahavat tsiyon,738,1095,902,1,64.76473494746162,3,0.046321505097390685,0.00023196859281338065
18,akiva arye,2903,2276,3604,0,241.65612528190897,128,4.145516929233048,0.02569037663253366
19,alcherizi,771,272,523,1,62.497352053276394,12,0.19200813483698476,0.0011367680185749105
20,alkala'i,621,231,440,1,92.47261385403102,13,0.14058216220123976,0.0008173825636898597
21,alterman,418,2123,269,0,118.21486028347007,12,0.1015100806381273,0.0005747220187599506
22,alumim,522,2859,408,3,406.67680172681696,174,1.6104553387726162,0.00994615717040047
23,am yisra'el hay,934,103,613,0,83.54581622935703,4,0.04787792112795765,0.00024163484930665103
24,amirim,327,878,393,0,122.49441837946348,34,0.2775636673882946,0.0016681180598347963
25,amos,1267,396,854,2,119.92054205786054,26,0.45540125291563704,0.0027725937797520492
26,amsterdam,1980,1060,2064,5,305.60454677902374,200,2.6781234614674316,0.01657700247202404
27,anatot,329,2001,385,0,33.313433684758664,65,1.951164824829761,0.012062162928012071
28,andersen,1117,6117,525,0,216.98322551281666,51,0.7361548286275141,0.004516238165916091
29,anokhy,836,4346,536,0,173.13051785920712,350,5.089065808157693,0.03155036862599889
30,arazi,195,957,143,0,96.18806018928176,6,0.062377804357349756,0.00033168762932506103
31,arba aratsot,775,261,436,1,72.22858096005048,5,0.06922467440922718,0.0003742107085003826
32,arlozorov,6524,1544,7472,8,773.9172277962455,1496,18.875653075639754,0.11717316232453985
33,arnon,3593,416,2444,4,285.9632400684427,76,1.2854467723542529,0.007927663333398812
34,artzi itzhak,469,4444,9124,0,678.3846919138883,446,1.4079607789911655,0.008688547177379288
35,arvey nahal,541,704,2503,0,103.26285734760066,9,0.08715621697068135,0.0004855761058715921
36,ashkenazi israel,1231,3352,1304,0,394.1478648704704,248,2.829640968889705,0.01751801506839981
37,ashtori ha-parhi,622,230,437,1,81.25180882858636,29,0.3569151310979442,0.002160937194481269
38,av,134,3688,2825,3,80.45111003579734,79,0.9819628338856772,0.006042850061617926
39,avuqa,330,2002,391,0,85.2928287755863,142,1.66485274364174,0.010283996962401122
40,ayalon north,1465,6681,4740,3,801.9900881247513,144,0.8286945161693758,0.005090963906347384
41,bar kochva,4881,425,5660,5,286.47264229464133,280,5.285467278166371,0.03277013695752119
42,barak,336,888,302,1,64.97477263046724,14,0.21546824149154895,0.0012824690418417356
43,barkay,911,5724,846,1,439.9796520707664,264,3.9250673547430774,0.02432125546633999
44,barth,218,2024,125,0,170.42335873988813,101,0.5926417642909688,0.0036249378562508623
45,basel,628,195,450,2,68.89031391683186,14,0.20322160263199793,0.0012064102310405196
46,bat chen,354,889,319,0,71.61148714632844,11,0.1536066410340422,0.0008982722169808103
47,bat yiftach,337,887,304,1,48.86422243216988,60,1.2278922494528195,0.007570215986553894
48,bavli,2579,3000,4175,2,367.25236149220893,410,7.477493823584542,0.04638390757664731
49,be'er tuviya,1567,562,1060,1,95.88845302851988,40,0.93869319952649,0.005774120251675292
50,be'eri,1753,1342,2016,2,198.62982511651876,106,1.2844005732312134,0.00792116582317807
51,bedolah,203,8366,5708,0,28.557214940591724,38,3.139293594455478,0.019441139505407205
52,begin menahem,3371,432,12440,0,1000.6490582008047,10384,122.84563846765514,0.7628877570493824
53,belkind,721,564,940,0,40.01488520383583,5,0.12495350104167485,0.0007203194106203455
54,ben gurion,7502,1836,4833,0,825.7590485374196,1368,17.37943548445911,0.10788077345032168
55,ben saruk,669,543,924,0,74.62404001919441,7,0.09380355175355684,0.0005268599539854578
56,ben yosef,439,6423,846,0,404.93026259278804,873,8.087559827355113,0.05017277530510591
57,ben zvi,39,3000,2412,0,157.40693441665664,534,3.3924807822411456,0.021013580452995336
58,ben-yehuda,10684,325,6630,13,1519.8551623494923,3042,35.99506155209401,0.22349473065623673
59,bergson,452,2053,177,1,213.8638504073828,22,0.10286918503567977,0.0005831628542755601
60,bernstein cohen,988,83,1130,1,145.52665520089081,172,1.1819140607785172,0.007284664465563785
61,beyt horon,514,1706,448,2,204.6358437954569,48,0.47224608925661915,0.002877210094067304
62,beyt oren,68,1010,2624,1,191.23758152633175,243,1.2706707440061462,0.007835895530215364
63,beyt-el,356,2029,373,0,42.47307650322408,170,4.002535582443516,0.024802378600723752
64,bilu,1008,67,754,1,127.2183710853149,130,1.0218649939545263,0.006290665880965742
65,binyamin mitodelo,2264,4986,1932,1,345.3653083922689,2706,56.05029105848054,0.3480494696417498
66,biranith,92,4186,2968,0,50.51338219674156,181,3.583208887004119,0.022198113858528726
67,bloch,907,544,1026,0,69.40276280090933,40,0.5763459318578584,0.0035237311782314778
68,bnei dan,1199,954,1608,0,340.06981728780073,160,1.4642502725586697,0.009038137950035096
69,bney efrayim,1648,3204,900,0,666.0333052121391,544,3.571167796232019,0.02212333162191846
70,bograshov,4953,130,3090,0,322.1374532563707,895,14.220024713914121,0.08825897935676946
71,boney hair,559,2119,3106,0,205.2102826059511,50,0.2436525078814447,0.0014575098681047175
72,bosem,378,16600,11856,0,143.38639281227688,2108,99.62679691971155,0.6186851316130021
73,brandeis,4188,3000,4914,6,518.7321292672874,324,4.95086664351895,0.030692070750419197
74,brazil com,107,4225,2982,0,87.67055672386043,68,0.7756309819519273,0.004761408233499141
75,brodetcky,3282,7880,888,0,648.9131817791404,1152,19.04940535836773,0.11825226591776616
76,brodie,215,991,123,0,72.13491425791027,18,0.2495324238640255,0.0014940275953256338
77,bruk,989,362,1129,1,63.34612895335292,62,0.9787496256583542,0.006022894153761929
78,bublik,1379,986,1604,2,143.45309413967186,12,0.16756719914237592,0.0009849754716467248
79,bukspan,437,2198,467,0,124.21480742477326,43,0.34617450923507315,0.0020942316326104373
80,byron,804,293,605,1,102.65092390410307,10,0.09741753527072043,0.0005493049114732248
81,basok chaim m. dr,847,613,4013,3,37.59433480171517,12,0.31919702964002233,0.001926685660205658
82,cahanemstein,1683,2234,1884,2,126.81574644296823,16,0.26180347247865204,0.0015702380050238442
