english_name,count
OR HAHAYIM,1419
BEGIN MENAHEM,1298
HAGIMNASYA HA'IVRIT,1069
ILAN,920
HATNUPHA,859
KOCHVEY YITZCHK,790
ROTHSHILD,780
ELHANAN EIB LEVINSKY,709
MENAHEM MADMON,676
HATIKVA,660
LA-GUARDIA,654
OLSHAN YITZHAK,645
IBN GVIROL,637
ABARVANEL,602
LEVI ESHKOL,592
HAYARKON,566
TSIKLAG,545
BEN ZVI,534
BOSEM,527
LOHAME GALLIPOLI,514
MAZEH,497
PALTIEL,484
YEVEN METSULA,478
NAHALT YITZHAK,476
NAMIR,474
BINYAMIN MITODELO,451
1115,437
HAR SINAI,390
YIG'AL ALLON,378
HAR TSIYON,370
YOHANAN HASANDLAR,352
KAPLAN,343
ELIEZER PERI,333
HATARUCHA,327
4827,312
YAD LABANIM,297
HAMA'APILIM,293
BEN YOSEF,291
EYN ZEYTIM,274
4155,271
MALKOSH,266
YOGEV KARMI DR.,255
KOSOVSKY,252
SHESHET HAYAMIM,250
QURQIDI,247
REVIVIM,244
BEYT OREN,243
IR SHEMESH,239
HAGOLAN,238
Tidhar David,236
BEN-YEHUDA,234
2040,228
HERZL,226
ARTZI ITZHAK,223
MIVZA KADESH,223
MESKIN,201
READING,193
PINSKER,192
REFIDIM,190
ARLOZOROV,187
LEBANON HAYIM,183
SOUTINE,182
BIRANITH,181
NORDAU,181
BOGRASHOV,179
GALILI,175
ANOKHY,175
BERNSTEIN COHEN,172
BEYT-EL,170
KIZIS,168
KARLIBACH,167
PERLUK,166
PHILADELPHIA,161
WEIZMAN,154
BEN GURION,152
HADAR YOSEF,150
VITKIN,147
BRODETCKY,144
AVUQA,142
JABOTINSKY,141
MISHMAR HAYARDEN,140
GORDON,137
HAUSNER,136
BNEY EFRAYIM,136
USIEL,135
LIVNEH,133
YETSIAT EUROPA,133
HAMATSBI'IM,132
HA-ZANHANIM,130
BILU,130
HANEVI'IM,128
HACHOTRIM,127
ZARITZKY,124
HATASSIM DERAKH,124
HERUTENU,118
KEHILAT RIGA,118
SHAPIRA HERMAN,117
VALENBERG,115
KEREN KAYEMET LEISRA,112
SHITREET,111
SHEVET YOSEF,111
HADASSA,104
KERL HERBST,102
PINKAS,102
BARTH,101
RAV ASHI,100
YEHONATAN,99
ZEITLIN,99
RABBI SHLOMO GOREN,98
ZIV,98
ABA AHIMEIR,98
SUMO,96
SHARET,94
TAGORE,90
DAVID HAMELLECH,86
KEHILAT YASSI,84
HAPARSA,83
BAVLI,82
TEVUOT HA'ARETS,81
TSIMHEY HAYEHUDIM,81
BNEI DAN,80
ESTHER HAMALKA,79
AV,79
GIV'AT HAMOREH,78
NO'AH,78
,78
HERZOG,78
MEIR DIZENGOFF,78
SHIM'ONI DAVID,77
DOLTZIN,77
HA-SHOFTIM,76
EHUD,76
SHLONSKY,74
MARKUS,71
QEHILAT LVOV,70
BRAZIL COM,68
KEHILAT LODZ,65
ANATOT,65
NAHSHON,64
KAM,64
KAFRISIM,64
WISSOTZKY,63
ELI COHEN,63
BRUK,62
EINSTEIN,62
ASHKENAZI ISRAEL,62
KOMEMUYUT,61
WILNA,61
BAT YIFTACH,60
REMEZ,60
SHLOMTZION,60
PE'AT HASHULHAN,59
ALUMIM,58
NAHARAYIM,58
Sha’ul HaMelekh Blvd,57
RAV TSAIR,56
BAR KOCHVA,56
KLATZKIN,56
PILICHOVSKI,55
HOS DOV,55
SHOHAT,55
GRONEMAN,55
